X,Z
-12.41,371.725
-12.46,371.7
-12.505,371.7
-12.555,371.69
-12.6,371.695
-12.645,371.71
-12.695,371.715
-12.74,371.735
-12.785,371.735
-12.835,371.73
-12.88,371.75
-12.925,371.755
-12.975,371.735
-13.025,371.72
-13.07,371.705
-13.12,371.705
-13.165,371.725
-13.21,371.74
-13.255,371.74
-13.305,371.755
-13.35,371.76
-13.395,371.75
-13.445,371.74
-13.495,371.73
-13.54,371.73
-13.585,371.745
-13.63,371.75
-13.68,371.75
-13.725,371.745
-13.775,371.735
-13.82,371.74
-13.87,371.75
-13.915,371.755
-13.96,371.77
-14.01,371.77
-14.055,371.75
-14.105,371.75
-14.15,371.76
-14.195,371.765
-14.245,371.77
-14.29,371.775
-14.335,371.785
-14.38,371.805
-14.43,371.82
-14.475,371.805
-14.525,371.78
-14.57,371.785
-14.62,371.79
-14.665,371.785
-14.715,371.77
-14.76,371.77
-14.81,371.77
-14.855,371.76
-14.905,371.76
-14.95,371.785
-14.995,371.79
-15.04,371.795
-15.085,371.815
-15.135,371.8
-15.185,371.785
-15.23,371.79
-15.275,371.8
-15.325,371.795
-15.37,371.795
-15.42,371.795
-15.465,371.78
-15.515,371.775
-15.56,371.775
-15.61,371.76
-15.66,371.73
-15.705,371.74
-15.75,371.75
-15.8,371.735
-15.845,371.76
-15.89,371.805
-15.935,371.815
-15.98,371.81
-16.03,371.8
-16.08,371.78
-16.13,371.77
-16.175,371.775
-16.22,371.79
-16.265,371.81
-16.31,371.81
-16.36,371.805
-16.405,371.8
-16.455,371.805
-16.5,371.8
-16.55,371.8
-16.595,371.825
-16.64,371.83
-16.685,371.835
-16.73,371.855
-16.78,371.835
-16.83,371.805
-16.88,371.805
-16.925,371.8
-16.975,371.79
-17.02,371.795
-17.065,371.815
-17.11,371.84
-17.155,371.83
-17.21,371.8
-17.255,371.805
-17.3,371.83
-17.345,371.835
-17.39,371.835
-17.44,371.835
-17.49,371.825
-17.535,371.81
-17.58,371.825
-17.625,371.835
-17.675,371.825
-17.72,371.835
-17.77,371.835
-17.82,371.81
-17.865,371.81
-17.915,371.81
-17.96,371.805
-18.005,371.815
-18.05,371.825
-18.1,371.84
-18.145,371.855
-18.19,371.865
-18.24,371.84
-18.29,371.815
-18.335,371.84
-18.38,371.86
-18.425,371.855
-18.47,371.86
-18.52,371.855
-18.57,371.835
-18.62,371.825
-18.665,371.82
-18.71,371.83
-18.755,371.845
-18.8,371.87
-18.845,371.88
-18.895,371.875
-18.94,371.87
-18.99,371.87
-19.035,371.87
-19.085,371.865
-19.13,371.85
-19.18,371.855
-19.225,371.875
-19.27,371.865
-19.32,371.85
-19.365,371.865
-19.41,371.88
-19.455,371.895
-19.505,371.895
-19.555,371.865
-19.605,371.845
-19.65,371.855
-19.695,371.88
-19.74,371.875
-19.79,371.855
-19.84,371.845
-19.885,371.85
-19.925,371.885
-19.97,371.905
-20.02,371.905
-20.07,371.88
-20.115,371.87
-20.165,371.875
-20.21,371.875
-20.26,371.87
-20.31,371.855
-20.355,371.85
-20.4,371.875
-20.445,371.89
-20.495,371.87
-20.545,371.84
-20.59,371.845
-20.635,371.87
-20.68,371.88
-20.725,371.885
-20.775,371.885
-20.82,371.88
-20.865,371.9
-20.91,371.925
-20.955,371.93
-21.005,371.925
-21.055,371.905
-21.1,371.885
-21.15,371.875
-21.2,371.875
-21.245,371.895
-21.29,371.9
-21.335,371.905
-21.38,371.92
-21.425,371.925
-21.475,371.905
-21.525,371.9
-21.57,371.905
-21.62,371.89
-21.665,371.89
-21.715,371.89
-21.76,371.9
-21.8,371.925
-21.845,371.945
-21.895,371.94
-21.94,371.94
-21.99,371.94
-22.035,371.93
-22.09,371.905
-22.14,371.885
-22.18,371.91
-22.22,371.95
-22.27,371.95
-22.32,371.935
-22.365,371.94
-22.41,371.945
-22.46,371.93
-22.505,371.935
-22.55,371.95
-22.6,371.95
-22.645,371.935
-22.695,371.93
-22.74,371.935
-22.79,371.94
-22.835,371.945
-22.88,371.955
-22.925,371.96
-22.975,371.955
-23.025,371.94
-23.07,371.94
-23.115,371.965
-23.16,371.965
-23.21,371.945
-23.26,371.935
-23.305,371.94
-23.35,371.94
-23.4,371.945
-23.445,371.95
-23.49,371.96
-23.535,371.97
-23.58,371.995
-23.63,371.985
-23.675,371.975
-23.72,372
-23.77,371.99
-23.82,371.975
-23.865,371.98
-23.915,371.97
-23.96,371.985
-24.005,372
-24.055,371.97
-24.105,371.95
-24.15,371.955
-24.2,371.955
-24.245,371.945
-24.29,371.955
-24.335,371.98
-24.385,371.975
-24.43,371.97
-24.475,371.99
-24.525,371.985
-24.58,371.92
-24.635,371.865
-24.675,371.92
-24.715,371.965
-24.765,371.95
-24.81,371.95
-24.855,371.955
-24.915,371.905
-24.965,371.865
-25.01,371.875
-25.055,371.895
-25.095,371.925
-25.14,371.94
-25.19,371.945
-25.235,371.935
-25.28,371.95
-25.325,371.97
-25.375,371.96
-25.425,371.945
-25.47,371.965
-25.51,371.995
-25.56,371.985
-25.605,371.975
-25.65,372
-25.695,372.005
-25.745,371.98
-25.79,371.995
-25.835,372.035
-25.88,372.04
-25.925,372.04
-25.97,372.05
-26.02,372.035
-26.075,372.01
-26.12,372
-26.165,372.005
-26.215,371.985
-26.265,371.98
-26.305,372.02
-26.35,372.03
-26.4,372.01
-26.45,371.99
-26.5,371.98
-26.555,371.955
-26.6,371.965
-26.635,372.03
-26.675,372.06
-26.725,372.06
-26.77,372.065
-26.82,372.055
-26.865,372.065
-26.91,372.07
-26.96,372.05
-27.005,372.06
-27.05,372.08
-27.095,372.08
-27.145,372.07
-27.19,372.075
-27.24,372.08
-27.28,372.1
-27.325,372.11
-27.38,372.075
-27.435,372.035
-27.485,372.02
-27.53,372.035
-27.575,372.05
-27.625,372.035
-27.67,372.04
-27.715,372.065
-27.76,372.08
-27.805,372.07
-27.855,372.06
-27.905,372.045
-27.96,372.025
-28.005,372.025
-28.05,372.045
-28.095,372.05
-28.145,372.04
-28.19,372.05
-28.23,372.075
-28.28,372.06
-28.33,372.04
-28.375,372.045
-28.42,372.08
-28.465,372.09
-28.515,372.08
-28.565,372.065
-28.61,372.055
-28.66,372.065
-28.705,372.075
-28.745,372.1
-28.79,372.105
-28.845,372.08
-28.895,372.06
-28.945,372.055
-28.99,372.065
-29.03,372.085
-29.08,372.07
-29.135,372.04
-29.185,372.02
-29.225,372.05
-29.265,372.09
-29.315,372.095
-29.36,372.09
-29.41,372.095
-29.455,372.085
-29.5,372.095
-29.55,372.085
-29.6,372.065
-29.645,372.08
-29.69,372.095
-29.735,372.105
-29.785,372.1
-29.83,372.1
-29.875,372.115
-29.92,372.14
-29.96,372.16
-30.005,372.18
-30.055,372.16
-30.11,372.12
-30.17,372.07
-30.225,372.02
-30.275,372.005
-30.32,372.025
